width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,1024,1098,2196,2592
64,1024,1177,2354,2720
64,1024,1261,2522,2912
64,1024,1352,2704,3104
64,1024,1449,2898,3296
64,1024,1553,3106,3488
64,1024,1664,3328,3680
64,1024,1783,3566,3936
64,1024,1911,3822,4192
64,1024,2048,4096,4448
64,1024,2195,4390,4768
64,1024,2353,4706,5088
64,1024,2522,5044,5408
64,1024,2703,5406,5792
64,1024,2897,5794,6176
64,1024,3105,6210,6624
64,1024,3327,6654,7008
64,1024,3566,7132,7520
64,1024,3822,7644,8032
64,1024,4096,8192,8544
64,1024,4390,8780,9184
64,1024,4706,9412,9824
64,1024,5043,10086,10464
64,1024,5405,10810,11168
64,1024,5793,11586,12000
64,1024,6209,12418,12832
64,1024,6654,13308,13664
64,1024,7132,14264,14624
64,1024,7644,15288,15648
64,1024,8192,16384,16736
64,1024,8780,17560,17952
64,1024,9411,18822,19232
64,1024,10086,20172,20576
64,1024,10810,21620,21984
64,1024,11586,23172,23584
64,1024,12417,24834,25248
64,1024,13308,26616,26976
64,1024,14264,28528,28896
64,1024,15287,30574,30944
64,1024,16384,32768,33120
64,1024,17560,35120,35488
64,1024,18821,37642,38048
64,1024,20172,40344,40736
64,1024,21619,43238,43616
64,1024,23171,46342,46752
64,1024,24834,49668,50080
64,1024,26616,53232,53600
64,1024,28527,57054,57440
64,1024,30574,61148,61536
64,1024,32768,65536,65888
64,1024,35120,70240,71232
64,1024,37641,75282,76352
64,1024,40343,80686,81728
64,1024,43238,86476,87488
64,1024,46341,92682,93696
64,1024,49668,99336,100352
64,1024,53232,106464,107520
64,1024,57053,114106,115136
64,1024,61148,122296,123328
